r\IA,0,1,2,3,4,5,6,7,8,9,10
100,,,,,,10,10,11,12,13,20
99,,,,,9,10,10,11,12,13,20
98,,,,,9,10,10,11,12,13,20
97,,,,,9,9,10,11,12,13,19
96,,,,,9,9,10,11,12,13,19
95,,,,,9,9,10,11,11,13,16
94,,,,,9,9,10,10,11,13,16
93,,,,,9,9,10,10,11,12,16
92,,,,,9,9,9,10,11,12,16
91,,,,,,9,9,10,11,12,15
90,,,,,8,9,9,10,11,12,15
89,,,,,8,9,9,10,11,12,15
88,,,,,8,9,9,10,11,12,15
87,,,,,8,8,9,10,11,12,15
86,,,,,8,8,9,10,10,12,15
85,,,,,8,8,9,9,10,11,14
84,,,,,8,8,9,9,10,11,14
83,,,,,8,8,9,9,10,11,14
82,,,,,8,8,8,9,10,11,14
81,,,,,8,8,8,9,10,11,14
80,,,,,7,8,8,9,10,11,14
79,,,,,7,8,8,9,10,11,13
78,,,,,7,7,8,9,9,11,13
77,,,,,7,7,8,9,9,10,13
76,,,,,7,7,8,8,9,10,13
75,,,,,7,7,8,8,9,10,13
74,,,,,7,7,8,8,9,10,13
73,,,,,7,7,8,8,9,10,12
72,,,,,7,7,7,8,9,10,12
71,,,,,7,7,7,8,9,10,12
70,,,,,6,7,7,8,9,10,12
69,,,,,6,7,7,8,8,9,12
68,,,,,6,7,7,8,8,9,12
67,,,,,6,6,7,7,8,9,12
66,,,,,6,6,7,7,8,9,11
65,,,,,6,6,7,7,8,9,11
64,,,,,6,6,7,7,8,9,11
63,,,,,6,6,6,7,8,9,11
62,,,,,6,6,6,7,8,8,11
61,,,,,6,6,6,7,7,8,11
60,,,,,5,6,6,7,7,8,11
59,,,,,5,6,6,7,7,8,11
58,,,,,5,6,6,6,7,8,10
57,,,,,5,6,6,6,7,8,10
56,,,,,5,5,6,6,7,8,10
55,,,,,5,5,6,6,7,8,10
54,,,,,5,5,6,6,7,7,10
53,,,,,5,5,6,6,7,7,10
52,,,,,5,5,5,6,6,7,9
51,,,,,5,5,5,6,6,7,9
50,,,,,5,5,5,6,6,7,9
49,,,,,5,5,5,6,6,7,9
48,,,,,5,5,5,5,6,7,9
47,,,,,4,5,5,5,6,7,9
46,,,,,4,5,5,5,6,6,8
45,,,,,4,5,5,5,6,6,8
44,,,,,4,4,5,5,5,6,8
43,,,,,4,4,5,5,5,6,8
42,,,,,4,4,4,5,5,6,8
41,,,,,4,4,4,5,5,6,7
40,,,,,4,4,4,5,5,6,7
39,,,,,4,4,4,4,5,5,7
38,,,,,4,4,4,4,5,5,7
37,,,,,4,4,4,4,5,5,7
36,,,,,4,4,4,4,5,5,7
35,,,,,4,4,4,4,4,5,6
34,,,,,4,4,4,4,4,5,6
33,,,,,4,4,4,4,4,5,6
32,,,,,4,4,4,4,4,4,6
31,,,,,4,4,4,4,4,4,6
30,,,,3,3,3,4,4,4,4,5
29,,,,3,3,3,3,4,4,4,5
28,,,,3,3,3,3,3,4,4,5
27,,,,3,3,3,3,3,4,4,5
26,,,,3,3,3,3,3,3,4,5
25,,,,3,3,3,3,3,3,4,4
24,,,,3,3,3,3,3,3,3,4
23,,,,3,3,3,3,3,3,3,4
22,,,,3,3,3,3,3,3,3,4
21,,,,3,3,3,3,3,3,3,4
20,,,,3,3,3,3,3,3,3,4
19,,,,3,3,3,3,3,3,3,3
18,,,,3,3,3,3,3,3,3,3
17,,,,3,3,3,3,3,3,3,3
16,,,,3,3,3,3,3,3,3,3
15,,,,3,3,3,2,2,2,3,3
14,,,,3,3,2,2,2,2,3,3
13,,,,3,3,2,2,2,2,2,3
12,,,,3,3,3,2,2,2,2,3
11,,,,3,3,3,2,2,2,2,3
10,,,,3,3,3,3,2,2,2,3
9,,,,3,3,3,3,3,3,3,3
8,,,,3,3,3,3,3,3,3,3
7,,,,3,3,3,3,3,3,3,3
6,,,,3,3,3,3,3,3,3,3
5,,,,3,4,4,3,3,3,3,3
4,,,,3,4,4,4,4,4,4,4
3,,,,3,4,4,4,4,4,4,4
2,,,,,4,4,4,4,4,4,4
1,,2,2,3,4,4,4,4,4,4,5

