r,tau,margin=(pA-pB)*tau-cu,total_states,feasible_states,in_region_feasible,qpos_states,match_fullclear
100,2.0,-1.0,451,200,0,42,0
99,1.98,-1.0,451,200,0,44,0
98,1.96,-1.0,451,200,0,44,0
97,1.94,-1.0,451,200,0,46,0
96,1.92,-1.0,451,200,0,46,0
95,1.9000000000000001,-1.0,451,200,0,47,0
94,1.8800000000000001,-1.0,451,200,0,48,0
93,1.86,-1.0,451,200,0,49,0
92,1.84,-1.0,451,200,0,51,0
91,1.82,-1.0,451,200,0,51,0
90,1.8,-1.0,451,200,0,52,0
89,1.78,-1.0,451,200,0,53,0
88,1.76,-1.0,451,200,0,53,0
87,1.74,-1.0,451,200,0,54,0
86,1.72,-1.0,451,200,0,54,0
85,1.7,-1.0,451,200,0,56,0
84,1.68,-1.0,451,200,0,56,0
83,1.6600000000000001,-1.0,451,200,0,56,0
82,1.6400000000000001,-1.0,451,200,0,57,0
81,1.62,-1.0,451,200,0,57,0
80,1.6,-1.0,451,200,0,57,0
79,1.58,-1.0,451,200,0,58,0
78,1.56,-1.0,451,200,0,61,0
77,1.54,-1.0,451,200,0,61,0
76,1.52,-1.0,451,200,0,62,0
75,1.5,-1.0,451,200,0,62,0
74,1.48,-1.0,451,200,0,61,0
73,1.46,-1.0,451,200,0,63,0
72,1.44,-1.0,451,200,0,64,0
71,1.42,-1.0,451,200,0,64,0
70,1.4000000000000001,-1.0,451,200,0,65,0
69,1.3800000000000001,-1.0,451,200,0,66,0
68,1.36,-1.0,451,200,0,66,0
67,1.34,-1.0,451,200,0,66,0
66,1.32,-1.0,451,200,0,67,0
65,1.3,-1.0,451,200,0,67,0
64,1.28,-1.0,451,200,0,68,0
63,1.26,-1.0,451,200,0,69,0
62,1.24,-1.0,451,200,0,70,0
61,1.22,-1.0,451,200,0,70,0
60,1.2,-1.0,451,200,0,71,0
59,1.18,-1.0,451,200,0,71,0
58,1.16,-1.0,451,200,0,73,0
57,1.1400000000000001,-1.0,451,200,0,73,0
56,1.12,-1.0,451,200,0,74,0
55,1.1,-1.0,451,200,0,74,0
54,1.08,-1.0,451,200,0,74,0
53,1.06,-1.0,451,200,0,75,0
52,1.04,-1.0,451,200,0,78,0
51,1.02,-1.0,451,200,0,77,0
50,1.0,-1.0,451,200,0,77,0
49,0.98,-1.0,451,200,0,77,0
48,0.96,-1.0,451,200,0,79,0
47,0.9400000000000001,-1.0,451,200,0,80,0
46,0.92,-1.0,451,200,0,82,0
45,0.9,-1.0,451,200,0,81,0
44,0.88,-1.0,451,200,0,83,0
43,0.86,-1.0,451,200,0,83,0
42,0.84,-1.0,451,200,0,84,0
41,0.8200000000000001,-1.0,451,200,0,85,0
40,0.8,-1.0,451,200,0,84,0
39,0.78,-1.0,451,200,0,85,0
38,0.76,-1.0,451,200,0,85,0
37,0.74,-1.0,451,200,0,87,0
36,0.72,-1.0,451,200,0,87,0
35,0.7000000000000001,-1.0,451,200,0,89,0
34,0.68,-1.0,451,200,0,92,0
33,0.66,-1.0,451,200,0,92,0
32,0.64,-1.0,451,200,0,93,0
31,0.62,-1.0,451,200,0,93,0
30,0.6,-1.0,451,200,0,97,0
29,0.58,-1.0,451,200,0,98,0
28,0.56,-1.0,451,200,0,99,0
27,0.54,-1.0,451,200,0,99,0
26,0.52,-1.0,451,200,0,98,0
25,0.5,-1.0,451,200,0,98,0
24,0.48,-1.0,451,200,0,98,0
23,0.46,-1.0,451,200,0,98,0
22,0.44,-1.0,451,200,0,88,0
21,0.42,-1.0,451,200,0,88,0
20,0.4,-1.0,451,200,0,88,0
19,0.38,-1.0,451,200,0,89,0
18,0.36,-1.0,451,200,0,88,0
17,0.34,-1.0,451,200,0,83,0
16,0.32,-1.0,451,200,0,78,0
15,0.3,-1.0,451,200,0,80,0
14,0.28,-1.0,451,200,0,80,0
13,0.26,-1.0,451,200,0,72,0
12,0.24,-1.0,451,200,0,69,0
11,0.22,-1.0,451,200,0,65,0
10,0.2,-1.0,451,200,0,58,0
9,0.18,-1.0,451,200,0,54,0
8,0.16,-1.0,451,200,0,47,0
7,0.14,-1.0,451,200,0,46,0
6,0.12,-1.0,451,200,0,45,0
5,0.1,-1.0,451,200,0,42,0
4,0.08,-1.0,451,200,0,36,0
3,0.06,-1.0,451,200,0,36,0
2,0.04,-1.0,451,200,0,34,0
1,0.02,-1.0,451,200,0,174,0

SUMMARY,,,45100,20000,0,7066,0
