r,tau,margin=(pA-pB)*tau-cu,total_states,feasible_states,in_region_feasible,qpos_states,match_fullclear
20,2.0,-1.0,451,200,0,70,0
19,1.9000000000000001,-1.0,451,200,0,74,0
18,1.8,-1.0,451,200,0,77,0
17,1.7000000000000002,-1.0,451,200,0,79,0
16,1.6,-1.0,451,200,0,82,0
15,1.5,-1.0,451,200,0,85,0
14,1.4000000000000001,-1.0,451,200,0,89,0
13,1.3,-1.0,451,200,0,92,0
12,1.2000000000000002,-1.0,451,200,0,96,0
11,1.1,-1.0,451,200,0,97,0
10,1.0,-1.0,451,200,0,100,0
9,0.9,-1.0,451,200,0,102,0
8,0.8,-1.0,451,200,0,113,0
7,0.7000000000000001,-1.0,451,200,0,114,0
6,0.6000000000000001,-1.0,451,200,0,105,0
5,0.5,-1.0,451,200,0,107,0
4,0.4,-1.0,451,200,0,97,0
3,0.30000000000000004,-1.0,451,200,0,77,0
2,0.2,-1.0,451,200,0,56,0
1,0.1,-1.0,451,200,0,167,0

SUMMARY,,,9020,4000,0,1879,0
