r,tau,margin=(pA-pB)*tau-cu,total_states,feasible_states,in_region_feasible,qpos_states,match_fullclear
20,2.0,-1.0,451,200,0,107,0
19,1.9000000000000001,-1.0,451,200,0,112,0
18,1.8,-1.0,451,200,0,112,0
17,1.7000000000000002,-1.0,451,200,0,116,0
16,1.6,-1.0,451,200,0,121,0
15,1.5,-1.0,451,200,0,127,0
14,1.4000000000000001,-1.0,451,200,0,126,0
13,1.3,-1.0,451,200,0,131,0
12,1.2000000000000002,-1.0,451,200,0,133,0
11,1.1,-1.0,451,200,0,137,0
10,1.0,-1.0,451,200,0,141,0
9,0.9,-1.0,451,200,0,146,0
8,0.8,-1.0,451,200,0,147,0
7,0.7000000000000001,-1.0,451,200,0,150,0
6,0.6000000000000001,-1.0,451,200,0,152,0
5,0.5,-1.0,451,200,0,155,0
4,0.4,-1.0,451,200,0,178,0
3,0.30000000000000004,-1.0,451,200,0,164,0
2,0.2,-1.0,451,200,0,148,0
1,0.1,-1.0,451,200,0,189,0

SUMMARY,,,9020,4000,0,2792,0
