r\IA,0,1,2,3,4,5,6,7,8,9,10
100,,,,,5,5,6,7,8,9,12
99,,,,,5,5,6,7,8,9,12
98,,,,,5,5,6,7,8,9,11
97,,,,4,5,5,6,7,8,9,11
96,,,,4,5,5,6,7,8,9,11
95,,,,4,4,5,6,7,8,9,11
94,,,,4,4,5,6,7,8,9,10
93,,,,4,4,5,6,7,8,9,10
92,,,,4,4,5,6,7,7,8,10
91,,,,4,4,5,6,6,7,8,10
90,,,,4,4,5,6,6,7,8,10
89,,,,4,4,5,6,6,7,8,10
88,,,,4,4,5,5,6,7,8,10
87,,,,3,4,5,5,6,7,8,10
86,,,,3,4,5,5,6,7,8,10
85,,,,3,4,5,5,6,7,8,10
84,,,,3,4,4,5,6,7,8,10
83,,,,3,4,4,5,6,7,8,9
82,,,,3,4,4,5,6,7,8,9
81,,,,3,4,4,5,6,7,8,9
80,,,,3,4,4,5,6,6,7,9
79,,,,3,4,4,5,6,6,7,9
78,,,,3,4,4,5,6,6,7,9
77,,,,3,4,4,5,5,6,7,9
76,,,,3,4,4,5,5,6,7,9
75,,,,3,3,4,5,5,6,7,9
74,,,,3,3,4,5,5,6,7,9
73,,,,3,3,4,4,5,6,7,9
72,,,,3,3,4,4,5,6,7,8
71,,,,3,3,4,4,5,6,7,8
70,,,,3,3,4,4,5,6,7,8
69,,,,3,3,4,4,5,6,7,8
68,,,,3,3,4,4,5,6,6,8
67,,,,3,3,4,4,5,5,6,8
66,,,2,3,3,4,4,5,5,6,8
65,,,2,3,3,4,4,5,5,6,8
64,,,2,3,3,3,4,5,5,6,8
63,,,2,3,3,3,4,4,5,6,8
62,,,2,3,3,3,4,4,5,6,7
61,,,2,3,3,3,4,4,5,6,7
60,,,2,3,3,3,4,4,5,6,7
59,,,2,3,3,3,4,4,5,6,7
58,,,2,3,3,3,4,4,5,6,7
57,,,2,3,3,3,4,4,5,6,7
56,,,2,3,3,3,4,4,5,5,7
55,,,2,3,3,3,3,4,5,5,7
54,,,2,3,3,3,3,4,4,5,7
53,,,2,2,3,3,3,4,4,5,7
52,,,2,2,3,3,3,4,4,5,7
51,,,2,2,3,3,3,4,4,5,6
50,,,2,2,3,3,3,4,4,5,6
49,,,2,2,3,3,3,4,4,5,6
48,,,2,2,3,3,3,4,4,5,6
47,,,2,2,3,3,3,3,4,5,6
46,,,2,2,3,3,3,3,4,5,6
45,,,2,2,3,3,3,3,4,4,6
44,,,2,2,3,3,3,3,4,4,6
43,,,2,2,2,3,3,3,4,4,6
42,,,2,2,2,3,3,3,4,4,6
41,,,2,2,2,3,3,3,4,4,5
40,,,2,2,2,3,3,3,4,4,5
39,,,2,2,2,3,3,3,3,4,5
38,,,2,2,2,3,3,3,3,4,5
37,,,2,2,2,3,3,3,3,4,5
36,,,2,2,2,2,3,3,3,4,5
35,,,2,2,2,2,3,3,3,4,5
34,,,2,2,2,2,3,3,3,4,5
33,,,2,2,2,2,3,3,3,4,5
32,,,2,2,2,2,3,3,3,3,4
31,,,2,2,2,2,2,3,3,3,4
30,,,2,2,2,2,2,3,3,3,4
29,,,2,2,2,2,2,3,3,3,4
28,,,2,2,2,2,2,3,3,3,4
27,,,2,2,2,2,2,2,3,3,4
26,,,2,2,2,2,2,2,3,3,4
25,,,2,2,2,2,2,2,3,3,4
24,,,2,2,2,2,2,2,3,3,4
23,,,2,2,2,2,2,2,2,3,3
22,,,2,2,2,2,2,2,2,3,3
21,,,2,2,2,2,2,2,2,3,3
20,,,2,2,2,2,2,2,2,3,3
19,,,2,2,2,2,2,2,2,2,3
18,,,2,2,2,2,2,2,2,2,3
17,,,2,2,2,2,2,2,2,2,3
16,,,2,2,2,2,2,2,2,2,3
15,,,2,2,2,2,2,2,2,2,3
14,,,2,2,2,2,2,2,2,2,2
13,,,2,2,2,2,2,2,2,2,2
12,,,2,2,2,2,2,2,2,2,2
11,,,2,2,2,2,2,2,2,2,2
10,,,2,2,2,2,2,2,2,2,2
9,,,2,2,2,2,2,2,2,2,2
8,,,2,3,2,2,2,2,2,2,3
7,,,2,3,3,3,3,2,2,2,3
6,,,,3,3,3,3,3,3,3,3
5,,,,3,3,3,3,3,3,3,3
4,,,,3,3,3,3,3,3,3,3
3,,,,3,4,4,4,4,4,4,4
2,,,,3,4,4,4,4,4,4,4
1,,2,2,3,4,4,4,4,4,4,4

