r,tau,margin=(pA-pB)*tau-cu,total_states,feasible_states,in_region_feasible,qpos_states,match_fullclear
200,2.0,19.0,451,200,200,95,95
199,1.99,18.9,451,200,200,95,95
198,1.98,18.8,451,200,200,95,95
197,1.97,18.7,451,200,200,96,96
196,1.96,18.6,451,200,200,96,96
195,1.95,18.5,451,200,200,96,96
194,1.94,18.4,451,200,200,97,97
193,1.93,18.3,451,200,200,98,98
192,1.92,18.2,451,200,200,98,98
191,1.9100000000000001,18.1,451,200,200,98,98
190,1.9000000000000001,18.0,451,200,200,98,98
189,1.8900000000000001,17.900000000000002,451,200,200,99,99
188,1.8800000000000001,17.8,451,200,200,99,99
187,1.87,17.700000000000003,451,200,200,100,100
186,1.86,17.6,451,200,200,100,100
185,1.85,17.5,451,200,200,101,101
184,1.84,17.400000000000002,451,200,200,102,102
183,1.83,17.3,451,200,200,102,102
182,1.82,17.2,451,200,200,102,102
181,1.81,17.1,451,200,200,102,102
180,1.8,17.0,451,200,200,101,101
179,1.79,16.9,451,200,200,101,101
178,1.78,16.8,451,200,200,101,101
177,1.77,16.7,451,200,200,102,102
176,1.76,16.6,451,200,200,102,102
175,1.75,16.5,451,200,200,102,102
174,1.74,16.4,451,200,200,102,102
173,1.73,16.3,451,200,200,102,102
172,1.72,16.2,451,200,200,102,102
171,1.71,16.1,451,200,200,102,102
170,1.7,16.0,451,200,200,103,103
169,1.69,15.899999999999999,451,200,200,103,103
168,1.68,15.8,451,200,200,103,103
167,1.67,15.7,451,200,200,104,104
166,1.6600000000000001,15.600000000000001,451,200,200,104,104
165,1.6500000000000001,15.5,451,200,200,104,104
164,1.6400000000000001,15.400000000000002,451,200,200,104,104
163,1.6300000000000001,15.3,451,200,200,104,104
162,1.62,15.200000000000003,451,200,200,106,106
161,1.61,15.100000000000001,451,200,200,106,106
160,1.6,15.0,451,200,200,106,106
159,1.59,14.9,451,200,200,106,106
158,1.58,14.8,451,200,200,106,106
157,1.57,14.700000000000001,451,200,200,107,107
156,1.56,14.600000000000001,451,200,200,107,107
155,1.55,14.5,451,200,200,107,107
154,1.54,14.4,451,200,200,108,108
153,1.53,14.3,451,200,200,108,108
152,1.52,14.2,451,200,200,108,108
151,1.51,14.1,451,200,200,108,108
150,1.5,14.0,451,200,200,108,108
149,1.49,13.9,451,200,200,108,108
148,1.48,13.8,451,200,200,109,109
147,1.47,13.7,451,200,200,109,109
146,1.46,13.6,451,200,200,110,110
145,1.45,13.5,451,200,200,110,110
144,1.44,13.399999999999999,451,200,200,110,110
143,1.43,13.299999999999999,451,200,200,110,110
142,1.42,13.2,451,200,200,110,110
141,1.41,13.1,451,200,200,110,110
140,1.4000000000000001,13.000000000000002,451,200,200,110,110
139,1.3900000000000001,12.900000000000002,451,200,200,110,110
138,1.3800000000000001,12.8,451,200,200,111,111
137,1.37,12.700000000000001,451,200,200,112,112
136,1.36,12.600000000000001,451,200,200,113,113
135,1.35,12.5,451,200,200,113,113
134,1.34,12.4,451,200,200,113,113
133,1.33,12.3,451,200,200,113,113
132,1.32,12.200000000000001,451,200,200,114,114
131,1.31,12.100000000000001,451,200,200,114,114
130,1.3,12.0,451,200,200,114,114
129,1.29,11.9,451,200,200,114,114
128,1.28,11.8,451,200,200,115,115
127,1.27,11.7,451,200,200,115,115
126,1.26,11.6,451,200,200,115,115
125,1.25,11.5,451,200,200,116,116
124,1.24,11.4,451,200,200,115,115
123,1.23,11.3,451,200,200,115,115
122,1.22,11.2,451,200,200,115,115
121,1.21,11.1,451,200,200,115,115
120,1.2,11.0,451,200,200,115,115
119,1.19,10.899999999999999,451,200,200,115,115
118,1.18,10.799999999999999,451,200,200,115,115
117,1.17,10.7,451,200,200,115,115
116,1.16,10.6,451,200,200,115,115
115,1.1500000000000001,10.500000000000002,451,200,200,115,115
114,1.1400000000000001,10.400000000000002,451,200,200,116,116
113,1.1300000000000001,10.3,451,200,200,116,116
112,1.12,10.200000000000001,451,200,200,117,117
111,1.11,10.100000000000001,451,200,200,118,118
110,1.1,10.0,451,200,200,118,118
109,1.09,9.9,451,200,200,119,119
108,1.08,9.8,451,200,200,119,119
107,1.07,9.700000000000001,451,200,200,119,119
106,1.06,9.600000000000001,451,200,200,119,119
105,1.05,9.5,451,200,200,119,119
104,1.04,9.4,451,200,200,120,120
103,1.03,9.3,451,200,200,120,120
102,1.02,9.2,451,200,200,120,120
101,1.01,9.1,451,200,200,120,120
100,1.0,9.0,451,200,200,120,120
99,0.99,8.9,451,200,200,120,120
98,0.98,8.8,451,200,200,120,120
97,0.97,8.7,451,200,200,120,120
96,0.96,8.6,451,200,200,120,120
95,0.9500000000000001,8.5,451,200,200,121,121
94,0.9400000000000001,8.4,451,200,200,121,121
93,0.93,8.3,451,200,200,121,121
92,0.92,8.200000000000001,451,200,200,121,121
91,0.91,8.1,451,200,200,121,121
