r,tau,margin=(pA-pB)*tau-cu,total_states,feasible_states,in_region_feasible,qpos_states,match_fullclear
20,2.0,19.0,451,200,200,110,110
19,1.9000000000000001,18.0,451,200,200,112,112
18,1.8,17.0,451,200,200,115,115
17,1.7000000000000002,16.0,451,200,200,117,117
16,1.6,15.0,451,200,200,119,119
15,1.5,14.0,451,200,200,120,120
14,1.4000000000000001,13.000000000000002,451,200,200,123,123
13,1.3,12.0,451,200,200,125,125
12,1.2000000000000002,11.000000000000002,451,200,200,127,127
11,1.1,10.0,451,200,200,133,133
10,1.0,9.0,451,200,200,131,131
9,0.9,8.0,451,200,200,130,130
8,0.8,7.0,451,200,200,134,134
7,0.7000000000000001,6.000000000000001,451,200,200,134,134
6,0.6000000000000001,5.000000000000001,451,200,200,146,146
5,0.5,4.0,451,200,200,148,148
4,0.4,3.0,451,200,200,136,136
3,0.30000000000000004,2.0000000000000004,451,200,200,127,127
2,0.2,1.0,451,200,200,93,93
1,0.1,0.0,451,200,0,169,0

SUMMARY,,,9020,4000,3800,2549,2380
