r,tau,margin=(pA-pB)*tau-cu,total_states,feasible_states,in_region_feasible,qpos_states,match_fullclear
20,2.0,29.0,451,200,200,128,128
19,1.9000000000000001,27.500000000000004,451,200,200,130,130
18,1.8,26.0,451,200,200,133,133
17,1.7000000000000002,24.500000000000004,451,200,200,135,135
16,1.6,23.0,451,200,200,138,138
15,1.5,21.5,451,200,200,139,139
14,1.4000000000000001,20.000000000000004,451,200,200,140,140
13,1.3,18.5,451,200,200,143,143
12,1.2000000000000002,17.000000000000004,451,200,200,146,146
11,1.1,15.5,451,200,200,147,147
10,1.0,14.0,451,200,200,147,147
9,0.9,12.5,451,200,200,149,149
8,0.8,11.0,451,200,200,150,150
7,0.7000000000000001,9.500000000000002,451,200,200,151,151
6,0.6000000000000001,8.000000000000002,451,200,200,152,152
5,0.5,6.5,451,200,200,153,153
4,0.4,5.0,451,200,200,158,158
3,0.30000000000000004,3.500000000000001,451,200,200,159,159
2,0.2,2.0,451,200,200,124,124
1,0.1,0.5,451,200,200,179,179

SUMMARY,,,9020,4000,4000,2901,2901
