r,tau,margin=(pA-pB)*tau-cu,total_states,feasible_states,in_region_feasible,qpos_states,match_fullclear
20,2.0,19.0,451,200,200,152,152
19,1.9000000000000001,18.0,451,200,200,156,156
18,1.8,17.0,451,200,200,158,158
17,1.7000000000000002,16.0,451,200,200,159,159
16,1.6,15.0,451,200,200,163,163
15,1.5,14.0,451,200,200,164,164
14,1.4000000000000001,13.000000000000002,451,200,200,165,165
13,1.3,12.0,451,200,200,169,169
12,1.2000000000000002,11.000000000000002,451,200,200,170,170
11,1.1,10.0,451,200,200,171,171
10,1.0,9.0,451,200,200,173,173
9,0.9,8.0,451,200,200,174,174
8,0.8,7.0,451,200,200,176,176
7,0.7000000000000001,6.000000000000001,451,200,200,177,177
6,0.6000000000000001,5.000000000000001,451,200,200,179,179
5,0.5,4.0,451,200,200,179,179
4,0.4,3.0,451,200,200,181,181
3,0.30000000000000004,2.0000000000000004,451,200,200,182,182
2,0.2,1.0,451,200,200,182,182
1,0.1,0.0,451,200,0,190,0

SUMMARY,,,9020,4000,3800,3420,3230
