label,Baseline
time,0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9
IB_start,20,19,19,18,17,16,16,14,13,12,12,10,10,8,8,5,5,5,3,3
ConsolidatedA,0,0,1,1,1,1,2,1,1,1,2,1,2,1,2,0,1,2,1,2
dispatch_q,0,0,0,0,0,0,2,0,0,0,2,0,2,0,2,0,0,2,0,0
event,B,A,B,B,B,A,A,B,B,A,A,A,A,A,B,A,A,A,A,A
A_demand,,1,,,,1,1,,,1,1,1,1,1,,1,1,1,1,1
B_demand,1,,1,1,1,,,1,1,,,,,,1,,,,,
IB_end,19,19,18,17,16,16,14,13,12,12,10,10,8,8,5,5,5,3,3,3

label,Baseline
time,0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9
IB_start,20,19,19,18,17,16,16,14,13,12,12,10,10,8,8,5,5,5,3,3
ConsolidatedA,0,0,1,1,1,1,2,1,1,1,2,1,2,1,2,0,1,2,1,2
dispatch_q,0,0,0,0,0,0,2,0,0,0,2,0,2,0,2,0,0,2,0,0
event,B,A,B,B,B,A,A,B,B,A,A,A,A,A,B,A,A,A,A,A
A_demand,,1,,,,1,1,,,1,1,1,1,1,,1,1,1,1,1
B_demand,1,,1,1,1,,,1,1,,,,,,1,,,,,
IB_end,19,19,18,17,16,16,14,13,12,12,10,10,8,8,5,5,5,3,3,3

