r,tau,margin=(pA-pB)*tau-cu,total_states,feasible_states,in_region_feasible,qpos_states,match_fullclear
20,2.0,79.0,451,200,200,176,176
19,1.9000000000000001,75.0,451,200,200,176,176
18,1.8,71.0,451,200,200,176,176
17,1.7000000000000002,67.0,451,200,200,176,176
16,1.6,63.0,451,200,200,176,176
15,1.5,59.0,451,200,200,176,176
14,1.4000000000000001,55.00000000000001,451,200,200,176,176
13,1.3,51.0,451,200,200,176,176
12,1.2000000000000002,47.00000000000001,451,200,200,176,176
11,1.1,43.0,451,200,200,176,176
10,1.0,39.0,451,200,200,176,176
9,0.9,35.0,451,200,200,176,176
8,0.8,31.0,451,200,200,175,175
7,0.7000000000000001,27.000000000000004,451,200,200,175,175
6,0.6000000000000001,23.000000000000004,451,200,200,175,175
5,0.5,19.0,451,200,200,175,175
4,0.4,15.0,451,200,200,169,169
3,0.30000000000000004,11.000000000000002,451,200,200,168,168
2,0.2,7.0,451,200,200,143,143
1,0.1,3.0,451,200,200,89,89

SUMMARY,,,9020,4000,4000,3381,3381
